px,py,pz,qx,qy,qz,qw,dx,dy,dz
-18.0,10.0,2.1002290010449984,6.927986884528454e-33,-1.1314261204703247e-16,-0.9238795391929064,0.38268341623423263,0.0,3,3
-25.0,2.1434123439046283e-16,2.1002290010449998,8.659560562354934e-17,0.0,0.7071067811865475,-0.7071067811865476,0.0,3,3
-18.0,-10.0,2.100229001045001,1.1314261204703244e-16,0.0,0.38268341623423263,-0.9238795391929064,0.0,3,3
-1.3,-1.2999999999999998,2.1002290010449998,1.1314261204703244e-16,0.0,-0.38268341623423263,-0.9238795391929064,0.0,3,3
1.3,1.3000000000000005,2.1002290010449998,1.1314261204703244e-16,0.0,-0.38268341623423263,-0.9238795391929064,0.0,3,3
18.0,10.0,2.1002290010449984,1.1314261204703244e-16,0.0,0.38268341623423263,-0.9238795391929064,0.0,3,3
25.0,2.1434123439046283e-16,2.1002290010449998,8.659560562354934e-17,0.0,0.7071067811865475,-0.7071067811865476,0.0,3,3
18.0,-10.0,2.100229001045001,6.927986884528454e-33,-1.1314261204703247e-16,-0.9238795391929064,0.38268341623423263,0.0,3,3
1.3,-1.2999999999999998,2.1002290010449998,6.927986884528454e-33,-1.1314261204703247e-16,-0.9238795391929064,-0.3826834162342328,0.0,3,3
-1.3,1.3000000000000005,2.1002290010449998,6.927986884528454e-33,-1.1314261204703247e-16,-0.9238795391929064,-0.3826834162342328,0.0,3,3
